Chromosome	Sample_Name	mean_meth	median_meth	sd_meth	mean_cov	median_cov	sd_cov
chr1	hg38.TWGBS.5N.BioMedX	0.703366119372134	0.818181818181818	0.328412032414412	8.08064048602024	7	13.0896240299485
chr1	hg38.TWGBS.5N.DKFZ.B060	0.689578876629437	0.8	0.316921627388397	9.87375808190831	9	14.4642148463815
chr1	hg38.TWGBS.5N.IHEC	0.720486098002209	0.833333333333333	0.317119908915775	10.0440042626333	10	5.49819295923319
chr1	hg38.TWGBS.5N.OTP	0.686010854765847	0.8	0.321074068603321	9.05315085736418	8	16.7754708909049
chr1	hg38.TWGBS.5N.UCSD	0.721857807484165	0.833333333333333	0.323277314469817	7.50190205707352	7	4.25746987822836
chr1	hg38.TWGBS.5N.UdS.NT	0.669281945521634	0.764705882352941	0.321535266205987	8.67066099283138	8	5.30097001539939
chr1	hg38.TWGBS.5N.UdS.TT	0.699165732506302	0.818181818181818	0.332147326383829	7.89506975992539	7	4.98575402265801
chr1	hg38.TWGBS.5N.bismark	0.731348427426476	0.857142857142857	0.316371389813223	9.61749325025688	9	19.2161514962521
chr1	hg38.TWGBS.5N.bistro	0.71130650276969	0.833333333333333	0.325740458661277	8.54846525933675	8	8.63542297012851
chr1	hg38.TWGBS.5T.BioMedX	0.68762954101127	0.814814814814815	0.33354613586057	9.55723513530152	9	14.716958485388
chr1	hg38.TWGBS.5T.DKFZ.B060	0.675426458683907	0.8	0.320723720431529	11.8418764654315	11	16.2375475111917
chr1	hg38.TWGBS.5T.IHEC	0.706254134294454	0.833333333333333	0.321510889744121	12.1124431892569	12	6.32862778545944
chr1	hg38.TWGBS.5T.OTP	0.670291602225449	0.785714285714286	0.325395233140167	10.7212818616731	10	18.9991709737128
chr1	hg38.TWGBS.5T.UCSD	0.707528936403142	0.833333333333333	0.326148969705748	8.77511521258096	9	4.71090350643185
chr1	hg38.TWGBS.5T.UdS.NT	0.658308996185407	0.75	0.319419627278438	10.6203332605374	10	5.97683138837889
chr1	hg38.TWGBS.5T.UdS.TT	0.687670783746957	0.8125	0.33186240369646	9.65267145048255	9	5.62729058159469
chr1	hg38.TWGBS.5T.bismark	0.716763877580367	0.846153846153846	0.320577355715134	11.6530681918139	11	23.143061888594
chr1	hg38.TWGBS.5T.bistro	0.695165888199373	0.833333333333333	0.330944935795202	10.2048427810679	10	9.28966118275878
chr1	hg38.TWGBS.6N.BioMedX	0.677211667474842	0.777777777777778	0.327602927707354	8.68492945825301	8	16.2704227833834
chr1	hg38.TWGBS.6N.DKFZ.B060	0.665961107925453	0.75	0.314830525944875	10.7193122438329	10	17.9986114536755
chr1	hg38.TWGBS.6N.IHEC	0.700157613335856	0.8	0.314451024743179	10.9656610187971	11	6.1439378197266
